BGGId,ImagePath
58,https://cf.geekdo-images.com/QJU-51hfBlaRRDnAtj1oxw__original/img/IdVMsgVTmzNexwVTVQZJVmd5uMo=/0x0/filters:format(jpeg)/pic638820.jpg
59,https://cf.geekdo-images.com/xiJmbkTIlaBidfWsewdrdg__original/img/HK4fOXCCLay0A4YVqXO_l0zZOeo=/0x0/filters:format(jpeg)/pic431734.jpg
60,
61,https://cf.geekdo-images.com/0OjVu2DcVVRzYhWb92E_pg__original/img/UaxU1VbaTya9ZLetUXRQWs-nSHY=/0x0/filters:format(jpeg)/pic147519.jpg
62,https://cf.geekdo-images.com/4ec1CU2Lbqg_EXcCIPUv4g__original/img/nO9YHqik2DidD_pH4HNg_7VqUdc=/0x0/filters:format(jpeg)/pic146706.jpg
63,https://cf.geekdo-images.com/cwU7yMp2ISonhEzJ5ZNmqw__original/img/_7X04AHX3fIpgzg1C-AVtz_OIFs=/0x0/filters:format(jpeg)/pic245105.jpg
64,https://cf.geekdo-images.com/UD42fj0ESsolCl951lqOAg__original/img/L_H0SLQH4BlqWi3TquV1xWBgewo=/0x0/filters:format(jpeg)/pic87932.jpg
66,0
67,https://cf.geekdo-images.com/q_Smtd-fGvpxqWIZB8-_wA__original/img/YO5AvueF8DJ015euZ90wweHSdxQ=/0x0/filters:format(jpeg)/pic940999.jpg
68,https://cf.geekdo-images.com/Gl3Zy0ZRU87klG89fc3tKg__original/img/hHvF0Yn3j11O56TqSKc6ni4q0xc=/0x0/filters:format(jpeg)/pic290690.jpg
69,https://cf.geekdo-images.com/XuPXpUWbGRMfGR2lewxo5A__original/img/T08q1X35jNRSPQf0b9NTYGE-jTM=/0x0/filters:format(jpeg)/pic26032.jpg
70,
71,0
72,https://cf.geekdo-images.com/0czKv-oPkqJri0VU0EZyAw__original/img/_RC6HgACmqqYqASo7PGm-wS8oc4=/0x0/filters:format(jpeg)/pic172332.jpg
73,0
74,9
75,https://cf.geekdo-images.com/BU7RlhGtYA98hIDC2saPcg__original/img/5If9_SBaqB7j6dshJyrBY--eIQ8=/0x0/filters:format(jpeg)/pic5305220.jpg
76,https://cf.geekdo-images.com/KXEZpUsmkbKzuyQbznPwYQ__original/img/QylR5UePm-rWPSQRyP6g1rmwHBs=/0x0/filters:format(jpeg)/pic113890.jpg
77,https://cf.geekdo-images.com/_xuAtC-J2YWbltf4TH8IkA__original/img/Gu2e-ml6XYmLqXsE1m-xca-si-0=/0x0/filters:format(jpeg)/pic289183.jpg
78,0
79,https://cf.geekdo-images.com/3SyjHSpkiqaTp7LzofApAQ__original/img/qxRKJpPd5I6aF2wX20PoAwVpda8=/0x0/filters:format(jpeg)/pic13658.jpg
82,https://cf.geekdo-images.com/pZQnKiKQWb8Y59ZSgyTh4Q__original/img/LLVuapzIJYDd9iDvXt_r8x1PlGs=/0x0/filters:format(jpeg)/pic365542.jpg
83,https://cf.geekdo-images.com/yCCKoNrdYx-Lh3mgCM2mgg__original/img/z2LnNwWGxF6hmbUAXFCqAnAHnXk=/0x0/filters:format(jpeg)/pic4265194.jpg
84,https://cf.geekdo-images.com/1aI4VpQErVusKbGTfGTi9Q__original/img/Wk1w2pKOvcdeHmaRaHW_3OVk_nM=/0x0/filters:format(jpeg)/pic239376.jpg
85,https://cf.geekdo-images.com/xMAE-hgcI6aJ9RNopJTqwg__original/img/rzbXSUVEJ7eS69u_YV8rx14zZO0=/0x0/filters:format(jpeg)/pic403469.jpg
87,https://cf.geekdo-images.com/lMd38yFCJVCoB4ikLqaYwg__original/img/LIuSzpRE0x84DEp9JW6hixODGWI=/0x0/filters:format(jpeg)/pic2403125.jpg
88,The Mask Trilogy (Kramer / Kiesling)
89,https://cf.geekdo-images.com/25K0ry11APabQ05qWrfRNQ__original/img/Hg-BlFgDme3DSRoHVdbM5ay64Gg=/0x0/filters:format(png)/pic2083742.png
90,https://cf.geekdo-images.com/bGUi_KpRqipvbGhtsbEKFA__original/img/Oiw7eem4-N_LunqR1AVTYG6UmJY=/0x0/filters:format(jpeg)/pic192632.jpg
91,https://cf.geekdo-images.com/Ip4TygnwFxuR57Vky9ZeZA__original/img/MP1e5GdDAT-4QO734-n8_rUkMv8=/0x0/filters:format(jpeg)/pic4490515.jpg
93,0
94,1
95,https://cf.geekdo-images.com/3_qW8pQo3PPY3q7Oze4LTA__original/img/P6m2cH4J7CfkCkvSkfrxU8qQ5cU=/0x0/filters:format(jpeg)/pic309356.jpg
96,https://cf.geekdo-images.com/92yhg_m_GRgyk4kDHYJHwA__original/img/v61mlN4a095k7QID9KuNl_BduUY=/0x0/filters:format(jpeg)/pic1021646.jpg
