25821,The Werewolves of Miller's Hollow,1.3166,8,18,9.595238095238095, '13', '14', '15', '16', '17',https://cf.geekdo-images.com/gBxf-8tL9SnYglYY7dEpJA__original/img/wnY8qstdl7kDu7pTOY72gYGzaUk=/0x0/filters:format(jpeg)/pic510856.jpg,1102,21926,21926,21926,21926,21926,21926
96061,"Jours de Gloire Campagne IV: Allemagne 1813,2011,1.481,2,5,23,120,120,120,0,21926,0,0,1,0,0,0,0
31722,Steam over Holland,3.7778,2,5,13.333333333333334,54,180,180,180,0,21926,0,1,0,0,0,0,0
36424,"Gulf,2008,1.25717,3,5,17,60,45,60,0,21926,0,1,0,0,0,0,0
5316,"Warhammer Epic 40,1997,1.81114,2,4,56,180,180,180,0,21926,1,0,1,0,0,0,0
256861,"Yeti,hey lets kick meatballskick meatball mountainyou yeti teamhellipa mean lean kickinrsquo team itrsquo aim yeti bop head start kickinrsquo meatball try mountain ledge winscontent piece snowy meatball mountain center connector flag   kickinrsquo yetis   meatball rulesgame basic   player give meatball stomp head yeti kick meatball mountain   land meatball landing win,5.47624,1.78043,2,1,0,0,0,0,21926,21926,0,0,0,0,0,0
12142,"The Battle of Austerlitz,battle austerlitz game   december   conflict napoleon grand armee allied austrian russian force tsar alexander game relatively small quot x quot map   counter map scale   yard hex gameturn represent hour unit type battle austerlitz infantry artillery cavalry dragoon infantry unit division,5.52547,1.59082,1,15,15,0,0,0,21926,21926,0,0,1,0,0,0
158586,"Rampage: The Allied Drive on Germany,rampage purposedesigne solitaire wargame cover fighting northwest europe time argentanfalaise encirclement midaugust   end september actively command ally force rule system direct handling german force win accumulate victory point seizure key area mapcomponent quot x quot map amp   countersmagazine world war,5.5396,1.71241,1,16,1,0,0,0,21926,21926,0,0,1,0,0,0
27944,"Schleiz,late game quotjour de gloirequot series cover battle schleiz saalfeld auerstaedt game include   map schleiz auestaedt scale iena   map xa saalfeld regular jdg scale   half token sheet mount   page scenario bookletsystem jours de gloire series jdg   scale    mhex   time    mingt   strength    mensp,5.53792,1.17598,2,18,9,0,0,0,21926,21926,0,0,1,0,0,0
33048,"Warhammer 40,2007,2.0616,2,6,7,180,180,180,0,21926,21926,0,0,1,0,0,0
33664,"Red Dragon,game description publisherred dragon blue dragon huaihai   operationallevel game large decisive battle chinese civil war battle huaihai showdown determine nationalist force jiang jieshi chiang kaishek drive mainland exile taiwan culmination   year onagainoffagain civil war nationalist communistsin   eightyearlong truce nationalist communist hold war resistance japan finally break side race seize city rail line china hold japanese november   nationalist suffer severe reverse manchuria north communist leadership decide time come central china target area strategically crucial city xuzhou halfway beijing peking nanjing nanke result enormous battle annihilation involve half million fighter communist mobilize million peasant help suppliesthis odd situation nationalist wellarme air support artillery road mobility tank nationalist go quotagainst oddsquot despite material superiority nationalist unit morale low quotdefectorsquot army main source replacement communist communist light lean wellmotivated battle develop asymmetrically powerful ponderous nationalist mobile communistsdesigne earl dixon red dragon blue dragon huaihai   feature map draw   kilometer hex week turn   unit counter marker unit nationalist quotcorpsquot communist quotcolumnsquot   soldier artillery regiment tank battalion communist nationalist lot side subdivide historically quotsubcommandsquot rule cover unique aspect struggle nationalist defection communist guerrilla propaganda offensive communist quotshort attacksquot communist reeducation red militia nationalist final defense position player discern early origin ferocious red chinese attack un force korea mere year battle element guerrilla warfare later familiar vietnamvirtually unknown west battle familiar mainland chinese taiwan fair description quotgettysburgquot chinese civil war,5.51621,1.94336,1,27,4,0,0,0,21926,21926,0,0,1,0,0,0
37165,"Warhammer 40,2008,1.93235,2,12,85,60,60,60,0,21926,21926,1,0,1,0,0,0
47082,"Win,superlight card game asmadi game minor splash origin   player draw card draw quotwinquot card winsthe quotwhos bananaquot variant require win player guess player quotbananaquot card,5.44326,2.18491,3,73,68,1,1,1,583,21926,0,0,0,0,0,0
101872,"Win,2011,2.18263,3,8,8,10,1,10,10,21926,0,0,0,0,0,0,0
129974,"Warhammer 40,2012,1.62448,2,2,10,120,120,120,10,21926,0,0,0,0,0,0,0
136086,"Die Welt: Singapur,2013,1.28833,2,6,3,60,45,60,10,21926,0,0,0,0,0,0,0
159452,"Wake up,2015,1.99403,1,4,15,30,30,30,10,21926,0,0,0,0,0,0,0
2066,"Teufel,1992,1.27312,2,6,5,60,60,60,10,21926,0,0,0,0,0,0,0
209872,"Keltis (with Neue Wege,2012,1.18965,2,4,4,30,30,30,10,21926,0,0,0,0,0,0,0
23485,"Dice 10,0,1.43992,2,8,2,45,45,45,10,21926,0,0,0,0,0,0,0
2436,"Murder,1985,1.58646,4,6,7,60,60,60,10,21926,0,0,0,0,0,0,0
316858,CloudAge,2.7606,1,4,11.333333333333334,71,100,60,100,10,21926,0,0,0,0,0,0,0
39169,"Warhammer 40,1994,1.79506,2,2,10,120,120,120,10,21926,0,0,0,0,0,0,0
41185,"Europa: Paris ist ja klar,2009,1.27831,2,6,7,45,45,45,10,21926,0,0,0,0,0,0,0
9297,"Oh,2004,1.27162,2,4,41,40,30,40,10,21926,0,0,0,0,0,0,0
117,Ta Yü,2.0671,2,4,8.222222222222221,149,45,30,45,10,21926,0,0,0,0,0,1,0
20022,Terra Nova,2.2579,2,4,9.8,159,45,45,45,10,21926,0,0,0,0,0,1,0
20821,"Tara,2006,1.29236,2,4,26,45,45,45,10,21926,0,0,0,0,0,1,0
7164,"Warhammer 40,2001,1.90427,2,2,25,45,45,45,10,21926,0,0,0,0,1,0,0
10997,Boomtown,1.6961,3,5,8.11111111111111,283,30,30,30,10,21926,0,0,0,1,0,0,0
1117,You're Bluffing!,1.6254,3,5,10.117647058823529,323,45,45,45,10,21926,0,0,0,1,0,0,0
129622,Love Letter,1.1916,2,4,7.786729857819905,2636,20,20,20,10,21926,0,0,0,1,0,0,0
143986,CV,1.8615,2,4,8.9,260,60,60,60,10,21926,0,0,0,1,0,0,0
168584,Love Letter: Batman,1.2,2,4,7.5,130,20,20,20,10,21926,0,0,0,1,0,0,0
199,Manhattan,1.9211,2,4,8.368421052631579,393,45,45,45,10,21926,0,0,0,1,0,0,0
205494,"Machi Koro: Bright Lights,2016,1.45024,2,5,28,30,30,30,10,21926,0,0,0,1,0,0,0
267370,Cities: Skylines – The Board Game,2.359,1,4,9.090909090909092,39,70,70,70,10,21926,0,0,0,1,0,0,0
284083,The Crew: The Quest for Planet Nine,1.9937,2,5,9.970149253731343,476,20,20,20,10,21926,0,0,0,1,0,0,0
4583,Pinochle,2.2989,2,4,10.0,87,45,45,45,10,21926,0,0,0,1,0,0,0
85005,The Boss,1.7891,2,6,9.0,147,40,40,40,10,21926,0,0,0,1,0,0,0
91534,Struggle for Catan,1.6667,2,4,7.923076923076923,147,30,30,30,10,21926,0,0,0,1,0,0,0
1163,"Ciao,1997,1.49612,2,4,38,30,30,30,10,21926,0,0,0,1,0,0,1
216428,Seikatsu,1.625,1,4,6.6,48,30,15,30,10,21926,0,0,0,1,0,1,0
443,Code 777,2.322,2,5,11.75,118,60,60,60,10,21926,0,0,0,1,0,1,0
128996,1775: Rebellion,2.2351,2,4,10.307692307692308,251,120,60,120,10,21926,0,0,1,0,0,0,0
229956,"Fort Sumter: The Secession Crisis,2018,1.51894,2,2,38,40,20,40,10,21926,0,0,1,0,0,0,0
273769,"Napoleon Retreats: Campaign in France,2019,2.04158,2,4,0,60,60,60,10,21926,0,0,1,0,0,0,0
313776,"Defending America: Intercepting the Amerika Bombers,2021,1.89268,1,1,1,120,90,120,10,21926,0,0,1,0,0,0,0
31604,"Civil War in the Far West: The New Mexico Campaign,2008,1.35647,2,2,8,120,120,120,10,21926,0,0,1,0,0,0,0
8001,"Tahiti:  Clan Warfare,1994,1.57359,1,4,8,180,180,180,10,21926,0,0,1,0,0,0,0
19351,"Dark Millennium: The Warhammer 40,2005,2.02099,2,2,10,45,45,45,10,21926,0,0,1,0,1,0,0
1107,Nyet!,1.9222,2,5,10.0,90,30,30,30,10,21926,0,1,0,0,0,0,0
134157,Guilds of London,3.0333,1,4,11.333333333333334,60,90,45,90,10,21926,0,1,0,0,0,0,0
143404,Castellion,2.0645,1,2,11.25,62,30,30,30,10,21926,0,1,0,0,0,0,0
143405,Sylvion,2.0485,1,2,11.0,103,30,30,30,10,21926,0,1,0,0,0,0,0
171879,Kraftwagen,2.8468,2,4,12.5,111,75,75,75,10,21926,0,1,0,0,0,0,0
181293,Alien Artifacts,2.9167,2,5,11.75,60,60,60,60,10,21926,0,1,0,0,0,0,0
193739,Jórvík,2.434,2,5,11.25,53,90,45,90,10,21926,0,1,0,0,0,0,0
199383,Calimala,2.8103,3,5,11.555555555555555,58,75,75,75,10,21926,0,1,0,0,0,0,0
21441,Mykerinos,2.5598,2,4,10.222222222222221,518,60,30,60,10,21926,0,1,0,0,0,0,0
220520,Caverna: Cave vs Cave,2.5855,1,2,10.4,152,40,20,40,10,21926,0,1,0,0,0,0,0
231038,Dreamscape,3.125,1,4,12.272727272727273,56,90,60,90,10,21926,0,1,0,0,0,0,0
247236,Duelosaur Island,2.339,1,2,10.0,59,45,30,45,10,21926,0,1,0,0,0,0,0
248900,Ceylon,2.4468,2,4,9.333333333333334,47,60,60,60,10,21926,0,1,0,0,0,0,0
25674,Khronos,3.5596,2,5,11.11111111111111,218,90,90,90,10,21926,0,1,0,0,0,0,0
267127,Aerion,1.9429,1,2,11.714285714285714,35,30,15,30,10,21926,0,1,0,0,0,0,0
272533,Kingdom Rush: Rift in Time,3.0182,1,4,9.5,55,90,45,90,10,21926,0,1,0,0,0,0,0
28723,Before the Wind,2.5914,2,4,10.8,186,75,75,75,10,21926,0,1,0,0,0,0,0
287589,Red Outpost,2.4167,1,4,8.875,48,60,30,60,10,21926,0,1,0,0,0,0,0
2955,Mexica,2.6919,2,4,10.235294117647058,383,90,90,90,10,21926,0,1,0,0,0,0,0
